builder;bb;user;system;elapsed;cpu;avgtest;avgdata;maxresident;inputs;outputs;major;minor;swaps
ryzen-9-5950x-zeus;2-build-test;0.21;0.03;0:27.48;0;0;0;28912;0;168;0;13723;0
ryzen-9-5950x-zeus;3-fetch;0.50;0.08;0:19.17;3;0;0;30772;0;416;0;14319;0
threadripper-2990wx-128gb-zeus;1-init;18.27;4.81;3:21.48;11;0;0;132028;19304;679936;56;189877;0
threadripper-2990wx-128gb-zeus;2-build-test;0.52;0.03;0:37.94;1;0;0;31932;3496;2720;10;19872;0
threadripper-2990wx-128gb-zeus;3-fetch;3.58;0.49;4:06.06;1;0;0;29236;8;488;0;18656;0
threadripper-3970x-128gb-gentoo-dunfell-2022-07;1-init;36.24;10.06;1:40.06;46;0;0;396164;16;887872;12;224306;0
threadripper-3970x-128gb-gentoo-dunfell-2022-07;2-build-test;1.26;0.08;1:13.54;1;0;0;51520;0;4736;1;21568;0
threadripper-3970x-128gb-gentoo-dunfell-2022-07;3-fetch;7.22;0.75;34:14.97;0;0;0;45360;17872;24136;44;18974;0
threadripper-3970x-128gb-gentoo-honister-2021-09;1-init;37.33;7.78;1:39.60;45;0;0;363508;4160;817704;0;222226;0
threadripper-3970x-128gb-gentoo-honister-2021-09;2-build-test;0.83;0.05;0:53.54;1;0;0;39072;0;376;0;16265;0
threadripper-3970x-128gb-gentoo-honister-2021-09;3-fetch;12.16;1.26;43:34.75;0;0;0;38928;50728;52304;0;16315;0
threadripper-3970x-128gb-gentoo-honister-2022-03;1-init;37.58;7.07;1:19.90;55;0;0;387184;3760;810720;0;210208;0
threadripper-3970x-128gb-gentoo-honister-2022-03;2-build-test;1.29;0.07;1:04.66;2;0;0;44140;960;3864;5;19015;0
threadripper-3970x-128gb-gentoo-honister-2022-03;3-fetch;19.47;1.73;41:52.62;0;0;0;38632;119696;62936;2162;19289;0
threadripper-3970x-128gb-gentoo-kirkstone-2022-03;1-init.2022-03-12;34.40;7.47;2:21.29;29;0;0;394756;2328;760248;7;200353;0
threadripper-3970x-128gb-gentoo-kirkstone-2022-03;1-init;37.91;8.77;1:38.37;47;0;0;352144;1376;764848;13;193612;0
threadripper-3970x-128gb-gentoo-kirkstone-2022-03;2-build-test.2022-03-12;1.31;0.06;1:04.97;2;0;0;43612;1064;3136;5;19620;0
threadripper-3970x-128gb-gentoo-kirkstone-2022-03;2-build-test;1.33;0.06;1:12.42;1;0;0;43472;8;3088;0;19657;0
threadripper-3970x-128gb-gentoo-kirkstone-2022-03;3-fetch.2022-03-12;12.19;0.77;1:05:08;0;0;0;39332;320;2864;2;16291;0
