builder-name;codename;cpu;cpu-link;cores;threads;freq;ram;ram-type;ram-link;channels;channels used;modules;freq;swap;raid;drives;drives-link;filesystem;OS;Kernel;System;System Link;other
threadripper-3970x-128gb-gentoo-kirkstone-2022-03;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.16.13;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-kirkstone-2022-07;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.18.15;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.7;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-rcraid-raid0;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;2x https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.15.40;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-mdadm-raid0;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;2x https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.7;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-lvm-raid0;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;2x https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.7;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-ipk;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.8;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-ld-is-gold;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.8;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-unpack-threads;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.8;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-unpack-threads-invalid;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.8;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
