builder;step;task;time
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2699-v3-8-channels;4-build-all;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;clang-native.do_populate_sysroot;---
ryzen-5-1600AF;4-build-all;clang-native.do_populate_sysroot;---
ryzen-5-1600AF;6-build-16-bb;clang-native.do_populate_sysroot;---
ryzen-5-1600AF;7-build-2-bb;clang-native.do_populate_sysroot;---
threadripper-3970x-64gb;4-build-all;clang-native.do_populate_sysroot;---
threadripper-3970x-64gb;5-build-8-bb;clang-native.do_populate_sysroot;---
threadripper-3970x-64gb;6-build-16-bb;clang-native.do_populate_sysroot;---
threadripper-3970x-64gb;7-build-2-bb;clang-native.do_populate_sysroot;98.93
dual-Xeon-E5-2670-8-channels;4-build-all;core-image-sato.do_rootfs;---
dual-Xeon-E5-2670-8-channels;5-build-8-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2670-8-channels;6-build-16-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2670-8-channels;7-build-2-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;core-image-sato.do_rootfs;---
