builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;48;qtwebengine;831.58;0.45;5.30;0%;686;55424;10628;3;29696
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;64;chromium-x11;2717.50;2.13;22.35;0%;4607;100250;10592;0;30504
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;64;qtbase;548.87;0.05;1.09;0%;44;12327;10570;0;30668
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;64;qtdeclarative;201.15;0.06;0.55;0%;30;10783;10563;0;30492
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;64;qtwebengine;887.12;0.75;8.65;1%;1681;47381;10572;0;30144
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;32;chromium-x11;3544.82;2.20;22.30;0%;2562;136267;10555;0;30540
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;32;qtbase;489.14;0.05;0.81;0%;36;11928;10544;0;30508
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;32;qtdeclarative;181.34;0.05;0.45;0%;34;12223;10555;0;30496
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;32;qtwebengine;982.06;0.46;4.46;0%;460;61075;10551;0;30532
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;48;chromium-x11;3573.45;2.76;30.45;0%;4802;122380;10572;0;30408
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;48;qtbase;531.80;0.09;0.87;0%;40;12063;10557;0;30660
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;48;qtdeclarative;198.50;0.06;0.49;0%;34;12382;10585;0;30504
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;48;qtwebengine;956.65;0.56;6.77;0%;889;55768;10554;0;30452
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;64;chromium-x11;4008.74;3.75;41.78;1%;7766;105520;10548;0;30596
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;64;qtbase;570.72;0.09;0.96;0%;339;13672;10556;0;30636
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;64;qtdeclarative;207.87;0.06;0.54;0%;36;10767;10576;0;30512
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666;64;qtwebengine;1272.15;1.09;11.12;0%;2092;48637;10564;0;30468
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;32;chromium-x11;2841.87;1.51;16.11;0%;1695;136246;10530;0;30540
